,Publish Date,Afraid,Anxiety,Scared,Lonely,Stressed,Help,Failure,Death,Happy,Good,Depressed,University
0,2020-03-31,7,15,16,6,26,115,6,7,17,90,11,UC Berkeley
1,2020-04-30,6,12,17,5,19,159,7,6,10,144,7,UC Berkeley
2,2020-05-31,6,16,16,3,23,139,14,4,12,132,4,UC Berkeley
3,2020-06-30,10,9,15,4,5,80,9,7,15,85,2,UC Berkeley
4,2020-07-31,8,8,25,6,24,123,6,3,12,101,3,UC Berkeley
5,2020-08-31,8,11,16,3,16,119,6,2,8,87,6,UC Berkeley
6,2020-09-30,6,16,19,5,27,96,6,4,14,90,11,UC Berkeley
7,2020-10-31,15,31,19,6,63,131,30,6,25,126,27,UC Berkeley
8,2020-11-30,8,17,12,5,30,81,12,4,18,77,22,UC Berkeley
9,2020-12-31,10,20,17,5,27,98,14,5,12,116,13,UC Berkeley
10,2020-03-31,1,6,8,2,7,54,5,0,9,46,4,UC Davis
11,2020-04-30,3,1,4,1,8,65,5,0,8,38,1,UC Davis
12,2020-05-31,4,8,10,1,7,106,11,1,8,44,6,UC Davis
13,2020-06-30,5,10,8,0,14,66,6,4,3,58,1,UC Davis
14,2020-07-31,5,8,9,0,15,71,7,0,2,55,2,UC Davis
15,2020-08-31,5,10,11,4,4,87,1,1,5,50,1,UC Davis
16,2020-09-30,6,14,5,4,5,102,1,1,2,64,2,UC Davis
17,2020-10-31,1,11,8,3,9,47,3,2,4,42,3,UC Davis
18,2020-11-30,4,5,4,1,7,45,9,0,12,56,4,UC Davis
19,2020-12-31,4,7,7,0,13,46,4,3,6,57,5,UC Davis
20,2021-01-31,4,7,10,4,8,73,3,2,6,67,6,UC Davis
21,2020-03-31,7,13,16,2,22,105,7,6,10,67,2,UC Irvine
22,2020-04-30,4,6,9,0,13,109,5,2,5,63,4,UC Irvine
23,2020-05-31,5,10,15,3,12,108,11,1,5,60,5,UC Irvine
24,2020-06-30,3,6,10,0,27,91,4,2,1,44,3,UC Irvine
25,2020-07-31,4,4,10,1,11,83,5,0,7,47,3,UC Irvine
26,2020-08-31,8,8,5,0,13,88,2,0,3,49,1,UC Irvine
27,2020-09-30,7,16,11,2,13,99,4,2,6,59,2,UC Irvine
28,2020-10-31,3,7,4,1,12,71,3,0,3,38,3,UC Irvine
29,2020-11-30,4,9,12,4,17,77,6,2,6,52,0,UC Irvine
30,2020-12-31,8,14,14,2,18,53,22,5,7,68,5,UC Irvine
31,2021-01-31,3,12,10,2,13,58,6,4,5,37,9,UC Irvine
32,2020-03-31,6,24,13,4,50,106,16,5,19,107,5,UCLA
33,2020-04-30,4,7,7,3,15,79,3,3,5,62,3,UCLA
34,2020-05-31,6,14,18,4,19,105,9,3,9,72,8,UCLA
35,2020-06-30,4,13,20,7,22,98,7,6,11,99,11,UCLA
36,2020-07-31,3,13,14,6,10,124,4,2,8,99,4,UCLA
37,2020-08-31,3,11,16,4,9,113,8,3,6,83,10,UCLA
38,2020-09-30,4,7,15,2,7,114,1,4,7,57,8,UCLA
39,2020-10-31,7,17,17,7,19,102,13,8,8,74,15,UCLA
40,2020-11-30,6,17,27,7,13,115,16,4,11,98,12,UCLA
41,2020-12-31,8,13,16,7,18,84,14,1,20,97,12,UCLA
42,2021-01-31,1,25,17,3,17,96,3,7,12,87,16,UCLA
43,2020-03-31,5,20,8,2,28,85,13,3,15,61,3,UC San Diego
44,2020-04-30,8,11,6,1,17,91,11,2,8,51,3,UC San Diego
45,2020-05-31,7,4,13,0,13,74,14,4,4,65,4,UC San Diego
46,2020-06-30,1,12,9,1,18,78,5,5,8,67,9,UC San Diego
47,2020-07-31,5,9,7,2,9,57,7,1,6,41,3,UC San Diego
48,2020-08-31,5,7,7,1,9,67,1,3,2,55,1,UC San Diego
49,2020-09-30,3,8,5,8,10,74,2,3,5,62,3,UC San Diego
50,2020-10-31,9,5,9,0,9,79,3,1,6,74,5,UC San Diego
51,2020-11-30,8,12,11,5,26,95,13,3,13,98,8,UC San Diego
52,2020-12-31,5,12,13,4,18,84,17,4,12,97,9,UC San Diego
53,2020-03-31,0,0,0,1,1,2,0,0,0,1,0,UC Merced
54,2020-04-30,0,1,0,0,0,9,0,0,0,5,0,UC Merced
55,2020-05-31,0,1,0,0,0,1,0,0,0,0,1,UC Merced
56,2020-06-30,0,1,1,0,0,3,0,0,0,1,0,UC Merced
57,2020-07-31,0,0,0,0,1,4,0,0,1,1,0,UC Merced
58,2020-08-31,0,0,0,0,0,1,0,0,0,0,0,UC Merced
